Month,ALS,CCDOFW,CTL,CEC,CAN,DRC,FE,FWHS,Grace,HCC,MHMR ADS,MHMR HS,PNS,RRC,TC,SAM,TSA ARL,TSA FW
January,31,51,255,47,90,293,11,58,57,29,1402,921,1098,6,63,12,15,305
February,39,3,8,50,92,494,1,5,56,30,1240,921,1200,2,83,0,18,375
March,39,9,0,97,96,690,1,9,56,19,1243,921,1080,0,82,2,21,69
April,31,2,7,17,87,575,1,9,57,29,1050,819,696,4,27,11,46,91
May,29,5,16,16,54,725,0,12,57,34,985,999,935,15,9,5,53,113
June,30,8,23,21,118,204,1,10,57,0,926,981,991,7,14,4,53,75
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
Month,Site,dataErrors,,,,,,,,,,,,,,,,
January,ACH,58,,,,,,,,,,,,,,,,
February,ACH,58,,,,,,,,,,,,,,,,
March,ACH,52,,,,,,,,,,,,,,,,
April,ACH,62,,,,,,,,,,,,,,,,
May,ACH,87,,,,,,,,,,,,,,,,
June,ACH,97,,,,,,,,,,,,,,,,
January,AHA,10,,,,,,,,,,,,,,,,
February,AHA,7,,,,,,,,,,,,,,,,
March,AHA,8,,,,,,,,,,,,,,,,
April,AHA,9,,,,,,,,,,,,,,,,
May,AHA,2,,,,,,,,,,,,,,,,
June,AHA,2,,,,,,,,,,,,,,,,
January,ALS,31,,,,,,,,,,,,,,,,
February,ALS,39,,,,,,,,,,,,,,,,
March,ALS,39,,,,,,,,,,,,,,,,
April,ALS,31,,,,,,,,,,,,,,,,
May,ALS,29,,,,,,,,,,,,,,,,
June,ALS,30,,,,,,,,,,,,,,,,
